"","studyId","trait_reported"
"451","GCST011392","Leg lean mass (fat adjusted)"
"452","SAIGE_411_4","Coronary atherosclerosis"
"453","FINNGEN_R5_E4_DM2","Type 2 diabetes"
"454","FINNGEN_R5_M13_ARTHROSIS","Arthrosis"
"455","GCST002449","Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)"
"456","GCST004384","Hypertension"
"457","GCST005235","Hand grip strength"
"458","GCST009152","Triglyceride levels"
"459","GCST010278","Hand grip strength (Mahalanobis distance)"
"460","GCST011488","Coronary artery disease"
"461","GCST90014123","Lacunar stroke"
"462","NEALE2_20111_2","Stroke | illnesses of siblings"
"463","FINNGEN_R5_I9_MI_STRICT","""Myocardial infarction, strict"""
"464","GCST000445","Atrial fibrillation"
"465","GCST002326","Pulmonary emphysema [Chinese]"
"466","GCST003117_2","Myocardial infarction [additive model]"
"467","GCST004871","Age-related macular degeneration (SNP x mitochondrial G12771A interaction)"
"468","GCST005036_2","Lean body mass [EA]"
"469","GCST007656","Chronic obstructive pulmonary disease or resting heart rate (pleiotropy)"
"470","GCST009391_79","Metabolite levels [TAG 50:3]"
"471","GCST90013735","Type 2 diabetes"
"472","GCST002964_3","Sphingolipid levels [Sphingomyeline C16:1]"
"473","GCST005446","Total cholesterol levels in HDL"
"474","GCST008922_10","Triacylglyceride levels [TAG(54:6;0]"
"475","GCST008927_14","Phosphatidylcholine levels [PC(18:0;0-20:5;0]"
"476","GCST011560","Trunk lean mass"
"477","GCST90013693_2","Type 2 diabetes [conditional]"
"478","GCST004236","LDL cholesterol levels [BMI adjusted]"
"479","GCST004246","Alzheimer's disease"
"480","GCST004337_2","Gondoic acid (20:1n-9) levels [EA]"
"481","GCST90013838","Alzheimer's disease or systolic blood pressure (pleiotropy)"
"482","GCST001149_2","Ankylosing spondylitis [less than]"
"483","GCST005826","Sero-negative rheumatoid arthritis"
"484","GCST007021","Type 2 diabetes nephropathy"
"485","GCST008922_11","Triacylglyceride levels [TAG(56:4;0]"
"486","GCST001005","HDL Cholesterol - Triglycerides (HDLC-TG)"
"487","GCST001392_6","Lipid metabolism phenotypes [M-LDL-C/M-LDL-PL]"
"488","GCST007140_4","High density lipoprotein cholesterol levels [East Asian]"
"489","GCST007248_2","Stroke [EA]"
"490","GCST009391_50","Metabolite levels [PC 36:4]"
"491","GCST90011769","Glaucoma (primary open-angle)"
"492","GCST90016589","Chronic obstructive pulmonary disease in never smokers"
"493","FINNGEN_R5_I9_CARDMPRI_EXNONE","""Cardiomyopathies, Primary/intrinsic"" (no controls excluded)"
"494","GCST000493_3","Sphingolipid levels [SM 14:0Mol%]"
"495","GCST004338_2","Oleic acid (18:1n-9) levels [Chinese]"
"496","GCST005473","Very small VLDL particle concentration"
"497","GCST009363_3","Triglyceride levels x short total sleep time interaction (2df test) [EA]"
"498","GCST009596","Osteoarthritis of the hand"
"499","GCST90010361","High density lipoprotein cholesterol levels"
"500","GCST90016593","Chronic obstructive pulmonary disease in current smokers"
"501","SAIGE_743_1","Osteoporosis"
"502","FINNGEN_R5_RHEUMA_SEROPOS_OTH","Other/unspecified seropositiverheumatoid arthritis"
"503","GCST000679","Rheumatoid arthritis"
"504","GCST002712_9","Red blood cell fatty acid levels [OA]"
"505","GCST006145","Type 2 diabetes"
"506","GCST007063_3","Fat-free mass [male]"
"507","GCST008678","HDL cholesterol levels x smoking (current vs non smokers) interaction (2df test)"
"508","GCST008936","High density lipoprotein cholesterol levels"
"509","GCST008083_2","Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [AA]"
"510","GCST009391_31","Metabolite levels [LPC 20:5]"
"511","GCST000533_21","Lipid metabolism phenotypes [LDL.total, fasting]"
"512","GCST001401","Coronary heart disease"
"513","GCST001706","Stroke (ischemic) [CS]"
"514","GCST002286","Ischemic stroke"
"515","GCST002965_9","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C40:2]"
"516","GCST008512","Multisite chronic pain"
"517","GCST008933_6","Sphingomyelin levels [SM(38:2;2]"
"518","GCST90010364","Low density lipoprotein cholesterol levels"
"519","GCST005504","Phospholipid levels in medium HDL"
"520","GCST006979","Heel bone mineral density"
"521","GCST010480_2","Coronary artery disease [conditional]"
"522","GCST90011881","Adiponectin levels (BMI-adjusted)"
"523","GCST002321_3","Lipid traits [LDL]"
"524","GCST004232_2","HDL cholesterol levels [Asian initial, BMI unadjusted]"
"525","GCST004234","HDL cholesterol levels [BMI adjusted]"
"526","GCST006067","Glaucoma (primary open-angle)"
"527","GCST007847_2","Type 2 diabetes [Conditioned]"
"528","SAIGE_362_29","Macular degeneration (senile) of retina nos"
"529","SAIGE_496_2","Chronic bronchitis"
"530","GCST001550_2","Type 2 diabetes [Obese]"
"531","GCST002712_2","Red blood cell fatty acid levels [AA]"
"532","GCST007142_2","Triglycerides [AA]"
"533","GCST010557","Type 2 diabetes"
"534","GCST010559","Urine 6-bromotryptophan levels in chronic kidney disease"
"535","FINNGEN_R5_RHEUMA_OTHER_WIDE","""Other (seronegative) rheumatoid arthritis, wide"""
"536","GCST002591_2","Lewy body disease [Ordinal II]"
"537","GCST002721_2","Trans fatty acid levels [Cis/trans-18:2, EA]"
"538","GCST007517","Type 2 diabetes"
"539","GCST008075_4","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [EA]"
"540","GCST008083_4","Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [EA]"
"541","GCST009918","HDL cholesterol levels"
"542","GCST010479","Coronary artery disease"
"543","GCST010549","Peripheral arterial disease x type 2 diabetes interaction"
"544","NEALE2_6148_2","Glaucoma | eye problems/disorders"
"545","GCST005306","Atrial fibrillation"
"546","GCST005470","Total cholesterol levels in small VLDL"
"547","GCST008933_3","Sphingomyelin levels [SM(36:1;2]"
"548","GCST009868","Adult onset asthma and/or BMI"
"549","FINNGEN_R5_G6_AD_WIDE_EXMORE","""AlzheimerÕs disease, wide definition"" (more controls excluded)"
"550","GCST002450","Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)"
"551","GCST005449_2","Total triglycerides levels [conditioned on 885 SNPs]"
"552","GCST008048","Type 2 diabetes"
"553","GCST006005_3","High density lipoprotein cholesterol levels [conditional on round 3]"
"554","GCST007692_17","Chronic obstructive pulmonary disease [conditional on rs34712979]"
"555","GCST000428_2","Adiposity [WHR in women]"
"556","GCST001405","Hypertension risk in short sleep duration [SNP+sleep]"
"557","GCST011343","Body fat percentage and LDL-C (pairwise)"
"558","GCST001392_2","Lipid metabolism phenotypes [HDL-C]"
"559","GCST001413_2","Sphingolipid levels [proportions]"
"560","GCST002591_3","Lewy body disease [Ordinal I]"
"561","GCST003303","LDL cholesterol"
"562","GCST010091","Heel bone mineral density (MTAG)"
"563","GCST90013731","Peripheral artery disease"
"564","FINNGEN_R5_I9_UAP","Unstable angina pectoris"
"565","GCST002222","LDL cholesterol"
"566","GCST001079","Coronary heart disease"
"567","GCST005549","Alzheimer's disease (late onset)"
"568","GCST006666","Lipid traits (pleiotropy) (HIPO component 1)"
"569","GCST007246","Latent autoimmune diabetes vs. type 2 diabetes"
"570","GCST008724","Chronic lymphocytic leukemia or rheumatoid arthritis"
"571","GCST009447","Parental longevity (father's age at death)"
"572","GCST90016587","Chronic obstructive pulmonary disease x ever smoker interaction (1df)"
"573","NEALE2_20002_1465","Osteoarthritis | non-cancer illness code, self-reported"
"574","GCST002444_2","Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid) [Conditioned on rs16966952]"
"575","GCST004232","HDL cholesterol levels [Asian initial, BMI adjusted]"
"576","GCST005841","Ischemic stroke (small-vessel)"
"577","GCST007142_3","Triglycerides [EA]"
"578","GCST007993","Asthma (adult onset)"
"579","GCST008087","Triglyceride levels in current drinkers"
"580","GCST009044","HDL cholesterol levels"
"581","GCST005830","Hand grip strength"
"582","GCST007780","Parkinson's disease (age of onset)"
"583","GCST008076_5","Triglyceride levels [Hispanic]"
"584","GCST005491","Total cholesterol levels in small LDL"
"585","GCST008085_3","HDL cholesterol levels in current drinkers [Asian]"
"586","GCST009391_20","Metabolite levels [DAG 34:2]"
"587","GCST90013837","Alzheimer's disease or LDL levels (pleiotropy)"
"588","GCST000283","LDL cholesterol"
"589","GCST000772","Parkinson's disease"
"590","GCST001953_2","Obesity [Obesity class III]"
"591","GCST001953_4","Obesity [Obesity class I]"
"592","GCST003830_4","Response to bronchodilator in chronic obstructive pulmonary disease (change in FEV1) [BDRBASE, AA]"
"593","GCST004494","Hand grip strength"
"594","GCST007437","Triglyceride levels"
"595","GCST007692_25","Chronic obstructive pulmonary disease [conditional on rs7307510]"
"596","GCST008087_3","Triglyceride levels in current drinkers [Asian]"
"597","GCST000973","Hypertension"
"598","GCST001240","Obesity (extreme)"
"599","GCST001814","Age-related macular degeneration"
"600","GCST003620","Systemic lupus erythematosus or rheumatoid arthritis [same effect]"
"601","GCST005475_2","Triglyceride levels in very small VLDL [conditioned on 885 SNPs]"
"602","GCST008598","Longevity (age >90th survival percentile)"
"603","GCST008928_7","Phosphatidylcholine-ether levels [PCO(18:1;0-20:4;0]"
"604","GCST009391_85","Metabolite levels [TAG 52:4]"
"605","GCST009527","HDL cholesterol levels"
"606","GCST90013686","Congestive heart failure"
"607","FINNGEN_R5_M13_ARTHROSIS_INCLAVO","""Artrosis, including avohilmo"""
"608","GCST000533_26","Lipid metabolism phenotypes [TG.by.NMR, whole]"
"609","GCST000682","Alzheimer's disease"
"610","GCST001493","Glaucoma (primary open-angle)"
"611","GCST002965_12","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C42:5]"
"612","GCST004815_3","C-reactive protein (red blood cell fatty acid level interaction) [OA]"
"613","GCST008592","High density lipoprotein cholesterol levels"
"614","GCST90016625","Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"
"615","FINNGEN_R5_ASTHMA_OBESITY","Obesity related asthma"
"616","GCST000533_18","Lipid metabolism phenotypes [LDL-C.assay, whole]"
"617","GCST001280","Alzheimer's disease (age of onset)"
"618","GCST001706_5","Stroke (ischemic) [SVD]"
"619","GCST002446_2","Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid) [Conditioned on rs16966952]"
"620","GCST004342","Vaccenic acid (18:1n-7) levels"
"621","GCST004821_2","Monocyte chemoattractant protein-1 (red blood cell fatty acid level interaction) [OA]"
"622","GCST006801","Type 2 diabetes [additive model]"
"623","GCST007692_8","Chronic obstructive pulmonary disease [conditional on rs13140176]"
"624","GCST008076_2","Triglyceride levels [AA]"
"625","GCST009391_22","Metabolite levels [DAG 36:2]"
"626","GCST011052","Fasting triglyceride levels"
"627","GCST90013707","Arrhythmia"
"628","GCST90013835","Alzheimer's disease or diastolic blood pressure (pleiotropy)"
"629","GCST001237","HDL cholesterol"
"630","GCST005409","Open-angle glaucoma and vertical cup-disc ratio"
"631","GCST008070_3","HDL cholesterol levels [Asian]"
"632","GCST008678_2","HDL cholesterol levels x smoking (current vs non smokers) interaction (2df test) [African]"
"633","GCST008922_3","Triacylglyceride levels [TAG(50:3;0]"
"634","GCST011335","Body mass index and LDL-C (pairwise)"
"635","FINNGEN_R5_I9_PAD","Peripheral artery disease"
"636","GCST000759","LDL cholesterol"
"637","GCST001321","Chronic obstructive pulmonary disease"
"638","GCST002965_10","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C40:4]"
"639","GCST002965_35","Glycerophospholipid levels [lysoPhosphatidylcholine acyl C20:4]"
"640","GCST003363","HDL cholesterol levels [Japanese]"
"641","GCST007124","Multiple sclerosis and HDL levels (pleiotropy)"
"642","GCST007141_5","Low density lipoprotein cholesterol levels [Hispanic]"
"643","GCST008085_2","HDL cholesterol levels in current drinkers [AA]"
"644","GCST009391_45","Metabolite levels [PC 34:3]"
"645","GCST010770","Cardiac dysrhythmias (time to event)"
"646","GCST90013832","Alzheimer's disease or body fat percentage (pleiotropy)"
"647","SAIGE_427_2","Atrial fibrillation and flutter"
"648","FINNGEN_R5_AD_LO","AlzheimerÕs disease (Late onset)"
"649","GCST000493_4","Sphingolipid levels [SM 16:1]"
"650","GCST000533_24","Lipid metabolism phenotypes [TG.assay, whole]"
"651","GCST004297","Atrial fibrillation"
"652","GCST004541","Low density lipoprotein cholesterol levels"
"653","GCST005485","Free cholesterol levels in large LDL"
"654","GCST008695","Triglyceride levels x smoking (current vs non smokers) interaction (2df test)"
"655","GCST010060_4","Cholesterol [TG]"
"656","GCST010242","HDL cholesterol levels"
"657","GCST004237","Triglyceride levels [Asian initial, BMI unadjusted]"
"658","GCST004238_2","Triglyceride levels [BMI unadjusted]"
"659","GCST005502","Free cholesterol levels in large HDL"
"660","GCST006066","Glaucoma (primary open-angle)"
"661","GCST007090","Knee osteoarthritis"
"662","GCST008370","Coronary artery disease"
"663","GCST008676","LDL cholesterol levels"
"664","GCST009245","Glaucoma (primary open-angle)"
"665","GCST005496","Free cholesterol levels in very large HDL"
"666","GCST007278","Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies)"
"667","GCST008690","LDL cholesterol levels x smoking (ever vs never smokers) interaction (1df test) [African]"
"668","GCST009875","Type 1 diabetes"
"669","GCST010244","Triglyceride levels"
"670","NEALE2_23124_raw","Arm fat mass (left)"
"671","FINNGEN_R5_COPD_MODE","COPD (mode)"
"672","GCST002223","HDL cholesterol"
"673","GCST007406","Healthspan"
"674","GCST009391_86","Metabolite levels [TAG 52:5]"
"675","GCST009615_2","Triglyceride levels x loop diuretics use interaction [African]"
"676","GCST90013687","Coronary artery disease"
"677","GCST002795","Chronic obstructive pulmonary disease"
"678","GCST004233","LDL cholesterol levels [Asian initial, BMI unadjusted]"
"679","GCST008929_3","Phosphatidylethanolamine levels [Total_PE]"
"680","GCST000533_12","Lipid metabolism phenotypes [HDL.mean.size, whole]"
"681","GCST001465","Adiponectin levels"
"682","GCST004249","Alzheimer's disease in APOE e4- carriers"
"683","GCST005840","Ischemic stroke (large artery atherosclerosis)"
"684","GCST007063","Fat-free mass"
"685","GCST007799","Asthma (adult onset)"
"686","GCST008046_2","Triglyceride levels [AA]"
"687","GCST008922_9","Triacylglyceride levels [TAG(54:3;0]"
"688","GCST009859","Adult onset asthma or type 2 diabetes"
"689","NEALE2_23117_raw","Leg fat-free mass (left)"
"690","FINNGEN_R5_I9_STR_EXNONE","""Stroke, excluding SAH"" (no controls excluded)"
"691","GCST002689","Very long-chain saturated fatty acid levels (fatty acid 24:0)"
"692","GCST004147","Chronic obstructive pulmonary disease"
"693","GCST005414","Type 2 diabetes"
"694","GCST008686","LDL cholesterol levels x smoking (current vs non smokers) interaction (1df test) [African, trans-ethnic]"
"695","GCST008922_12","Triacylglyceride levels [TAG(56:5;0]"
"696","GCST008922_14","Triacylglyceride levels [Total_TAG]"
"697","GCST009391_9","Metabolite levels [CE 16:0]"
"698","GCST011329","Body mass index and type 2 diabetes (pairwise)"
"699","GCST90013689","Peripheral artery disease"
"700","NEALE2_4124_raw","Heel bone mineral density (bmd) (right)"
"701","FINNGEN_R5_AD_LO_EXMORE","AlzheimerÕs disease (Late onset) (more controls excluded)"
"702","FINNGEN_R5_COPD_HOSPITAL","""COPD, hospital admissions"""
"703","FINNGEN_R5_I9_NONRHEVALV","Non-rheumatic valve diseases"
"704","GCST001592","Osteoarthritis"
"705","GCST004300","Incident atrial fibrillation"
"706","GCST005460","Triglyceride levels in large VLDL [conditioned on 885 SNPs]"
"707","GCST005874","HDL cholesterol [additive]"
"708","GCST006061_2","Atrial fibrillation [AA]"
"709","GCST007091","Osteoarthritis (hip)"
"710","GCST007141_2","Low density lipoprotein cholesterol levels [AA]"
"711","GCST008037","Low density lipoprotein cholesterol levels"
"712","GCST008726","Marginal zone lymphoma or rheumatoid arthritis"
"713","NEALE2_20110_2","Stroke | illnesses of mother"
"714","FINNGEN_R5_I9_HYPTENSHR","Hypertensive heart and/or renal disease"
"715","GCST004046","Age-related disease endophenotypes"
"716","GCST007692_20","Chronic obstructive pulmonary disease [conditional on rs62191105]"
"717","GCST008698_2","Triglyceride levels x smoking (ever vs never smokers) interaction (2df test) [African, trans-ethnic]"
"718","GCST009382_2","Childhood obesity [EA]"
"719","FINNGEN_R5_PRIM_KNEEARTHROSIS","""Primary gonarthrosis, bilateral"""
"720","GCST000133","HDL cholesterol"
"721","GCST001004","Triglycerides-Blood Pressure (TG-BP)"
"722","GCST004388","Blood pressure traits (multi-trait analysis) [Het]"
"723","GCST006612","LDL cholesterol"
"724","GCST011330","Body mass index and coronary artery disease (pairwise)"
"725","GCST000975","LDL cholesterol"
"726","GCST002712_8","Red blood cell fatty acid levels [LA]"
"727","GCST002965_15","Glycerophospholipid levels [Phosphatidylcholine diacyl C28:1]"
"728","GCST003301","Triglycerides [Hispanic]"
"729","GCST004894_2","Type 2 diabetes [EA]"
"730","GCST008929_2","Phosphatidylethanolamine levels [PE(18:0;0-20:4;0]"
"731","GCST011322","Waist-hip ratio and coronary artery disease (pairwise)"
"732","GCST002321_5","Lipid traits [TG]"
"733","GCST005529_8","Ankylosing spondylitis [conditioned on rs30187, EA]"
"734","GCST005811","Osteoarthritis (self-reported)"
"735","SAIGE_278_1","Obesity"
"736","SAIGE_714_1","Rheumatoid arthritis"
"737","GCST000288","HDL cholesterol"
"738","GCST002044_2","Triglycerides [Hispanic]"
"739","GCST003217","Triglycerides"
"740","GCST003219_2","Advanced age-related macular degeneration [EA]"
"741","GCST006061","Atrial fibrillation"
"742","GCST008922_13","Triacylglyceride levels [TAG(56:6;0]"
"743","GCST009391_92","Metabolite levels [TAG 54:5]"
"744","GCST010158","Large artery stroke (CCS or TOAST classification)"
"745","GCST90013842","Alzheimer's disease or waist-hip ratio (pleiotropy)"
"746","NEALE2_4056_raw","Age stroke diagnosed"
"747","FINNGEN_R5_I9_HEARTFAIL_AND_ANTIHYPERT","Heart failure and antihypertensive medication"
"748","GCST002965_20","Glycerophospholipid levels [Phosphatidylcholine diacyl C36:2]"
"749","GCST002965_5","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C36:4]"
"750","GCST003423","Alzheimer's disease or small vessel stroke"
"751","GCST007600_2","Alzheimer's disease [females]"
"752","GCST008075","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)"
"753","GCST010337","Low density lipoprotein cholesterol levels (on statin treatment)"
"754","FINNGEN_R5_I9_STR_SAH_EXNONE","""Stroke, including SAH"" (no controls excluded)"
"755","GCST001840","Stearic acid (18:0) levels"
"756","GCST002965_31","Glycerophospholipid levels [Phosphatidylcholine diacyl C42:5]"
"757","GCST004237_2","Triglyceride levels [Trans-ethnic initial]"
"758","GCST005463_2","Phospholipid levels in medium VLDL [conditioned on 885 SNPs]"
"759","GCST008599","Longevity (age >99th survival percentile)"
"760","GCST008685","HDL cholesterol levels"
"761","GCST90013534_6","Rheumatoid arthritis [conditional on rs7170107]"
"762","GCST000533_8","Lipid metabolism phenotypes [HDL-C.by.NMR, whole]"
"763","GCST002965_19","Glycerophospholipid levels [Phosphatidylcholine diacyl C34:4]"
"764","GCST008928_6","Phosphatidylcholine-ether levels [PCO(18:1;0-20:3;0]"
"765","GCST009364_2","Triglyceride levels x long total sleep time interaction (2df test) [EA]"
"766","GCST003098_5","Diabetic kidney disease [American Indian, dominant ]"
"767","GCST005571","Osteoarthritis of the hip or knee (with total joint replacement)"
"768","GCST008927_12","Phosphatidylcholine levels [PC(18:0;0-20:2;0]"
"769","GCST009391_16","Metabolite levels [CE 20:4]"
"770","GCST000184_2","Waist circumference and related phenotypes [HDL cholesterol]"
"771","GCST002290","Coronary artery disease or large artery stroke"
"772","GCST003660","HDL cholesterol"
"773","GCST006003_2","Triglyceride levels [conditional on round 2]"
"774","GCST007950_2","Type 2 diabetes and end-stage kidney disease in APOL1 risk genotype negative individuals [corrected for genomic control]"
"775","GCST90016586","Chronic obstructive pulmonary disease x ever smoker interaction (main effect)"
"776","GCST002965_28","Glycerophospholipid levels [Phosphatidylcholine diacyl C40:5]"
"777","GCST005498","Triglyceride levels in very large HDL"
"778","GCST005873","Triglyceride levels [additive]"
"779","GCST90016585","Chronic obstructive pulmonary disease x ever smoker interaction (2df)"
"780","GCST002318","Rheumatoid arthritis"
"781","GCST005464","Total cholesterol levels in medium VLDL [conditioned on 885 SNPs]"
"782","GCST007755","Homeostasis model assessment of insulin resistance in more-fat diet"
"783","GCST008075_2","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df) [AA]"
"784","GCST008464","Type 2 diabetes"
"785","GCST000337_10","Quantitative traits [TG]"
"786","GCST001408_2","Response to statins (LDL cholesterol change) [baseline LDL-C]"
"787","GCST005529_7","Ankylosing spondylitis [conditioned on rs30187 & rs2910686, EA]"
"788","GCST008676_2","LDL cholesterol levels [African, trans-ethnic]"
"789","GCST009368","HDL cholesterol levels x long total sleep time interaction (2df test)"
"790","GCST010122","Ceramide levels (C22:0)"
"791","GCST011342","Body fat percentage and triglycerides (pairwise)"
"792","GCST90011766","Glaucoma (primary open-angle)"
"793","GCST008036","Hypertension"
"794","GCST009450","Parental longevity (father's age at death or father's attained age)"
"795","GCST90016591","Chronic obstructive pulmonary disease x current smoker interaction (main effect)"
"796","FINNGEN_R5_COPD_EARLY","Early onset COPD"
"797","FINNGEN_R5_T2D","""Type 2 diabetes, definitions combined"""
"798","GCST000677","Rheumatoid arthritis"
"799","GCST005047","Type 2 diabetes"
"800","GCST005814","Osteoarthritis (hospital diagnosed)"
"801","GCST008078","LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)"
"802","GCST008927_4","Phosphatidylcholine levels [PC(16:0;0-18:2;0]"
"803","GCST011334","Body mass index and triglycerides (pairwise)"
"804","NEALE2_20002_1464","Rheumatoid arthritis | non-cancer illness code, self-reported"
"805","GCST005510","Chylomicron and largest VLDL particle concentration"
"806","GCST008037_2","Low density lipoprotein cholesterol levels [AA]"
"807","GCST008076_3","Triglyceride levels [Asian]"
"808","GCST008114","Type 2 diabetes"
"809","GCST008719","Follicular lymphoma or rheumatoid arthritis"
"810","GCST008923_3","Ceramide levels [CER(42:1;2]"
"811","GCST008923_5","Ceramide levels [Total_CER]"
"812","FINNGEN_R5_I9_CARDMYO","Cardiomyopathy"
"813","FINNGEN_R5_I9_HEARTFAIL_ALLCAUSE","All-cause Heart Failure"
"814","FINNGEN_R5_I9_MI","Myocardial infarction"
"815","GCST002448","Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
"816","GCST005453","Very large VLDL particle concentration [conditioned on 885 SNPs]"
"817","GCST005465","Cholesterol ester levels in medium VLDL"
"818","GCST006701","Parental longevity (father's attained age)"
"819","GCST007092","Osteoarthritis of the hip or knee"
"820","GCST008079_4","LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df) [EA]"
"821","SAIGE_427","Cardiac dysrhythmias"
"822","GCST000533_22","Lipid metabolism phenotypes [LDL.total, whole]"
"823","GCST000753_3","Metabolic syndrome [HDL]"
"824","GCST001461","Type 2 diabetes"
"825","GCST002965_7","Glycerophospholipid levels [Phosphatidylcholine acyl-alkyl C38:4]"
"826","GCST004870","Age-related macular degeneration (SNP x mitochondrial A4917G interaction)"
"827","GCST005172","Coronary artery disease"
"828","GCST008985","Triglycerides"
"829","GCST011441","Glaucoma (high intraocular pressure)"
"830","GCST005449","Total triglycerides levels"
"831","GCST008070_5","HDL cholesterol levels [HIspanic]"
"832","GCST008931_4","Phosphatidylinositol levels [PI(18:0;0-20:4;0]"
"833","GCST009151","High density lipoprotein cholesterol levels"
"834","GCST011018","LDL cholesterol levels"
"835","GCST90013534_3","Rheumatoid arthritis [conditional on rs3087243]"
"836","FINNGEN_R5_M13_ARTHTROSIS_COX","""Coxarthrosis,"""
"837","GCST000649_2","Chronic kidney disease [CKD]"
"838","GCST004550","Triglyceride levels"
"839","FINNGEN_R5_E4_DM2NASCOMP","Type 2 diabetes with other specified/multiple/unspecified complications"
"840","GCST001285","Psychosis and Alzheimer's disease"
"841","GCST003304_2","HDL cholesterol [Hispanic]"
"842","GCST008592_2","High density lipoprotein cholesterol levels [conditional]"
"843","GCST008927","Phosphatidylcholine levels [PC(16:0;0-16:0;0]"
"844","GCST009920","Total triglycerides levels"
"845","GCST010160","Large artery stroke (TOAST classification)"
"846","GCST000480_2","Alzheimer's disease [AA]"
"847","GCST000652","Age-related macular degeneration"
"848","GCST001493_2","Glaucoma (primary open-angle) [NPG]"
"849","GCST002245","Alzheimer's disease (late onset)"
"850","GCST002965_26","Glycerophospholipid levels [Phosphatidylcholine diacyl C38:5]"
"851","GCST007122","Multiple sclerosis and triglyceride levels (pleiotropy)"
"852","GCST009497","Alzheimer's disease (onset at age over 80)"
"853","GCST009848","Adult onset asthma or fasting glucose levels"
"854","GCST000533_11","Lipid metabolism phenotypes [HDL.mean.size, fasting]"
"855","GCST004963","Lipoprotein phospholipase A2 activity in cardiovascular disease"
"856","GCST005058","HDL cholesterol"
"857","GCST010166","Cardioembolic stroke (CCSp classification)"
"858","GCST90007528","Low hand grip strength (60 years and older) (EWGSOP)"
"859","FINNGEN_R5_I9_AF","Atrial fibrillation and flutter"
"860","FINNGEN_R5_I9_CARDMYO_EXNONE","Cardiomyopathy (no controls excluded)"
"861","GCST000292_5","Metabolic traits [TG]"
"862","GCST002318_3","Rheumatoid arthritis [East Asian]"
"863","GCST002591","Lewy body disease [Case/control]"
"864","GCST005196","Coronary artery disease"
"865","GCST005529","Ankylosing spondylitis"
"866","GCST007692_27","Chronic obstructive pulmonary disease [conditional on rs8044657]"
"867","GCST011438","Glaucoma (primary open-angle)"
"868","GCST011576","Serum C-reactive protein concentration in visceral obesity (waist circumference)"
"869","FINNGEN_R5_COPD_LATER","Later onset COPD"
"870","GCST000282","LDL cholesterol"
"871","GCST001007","Metabolic syndrome (bivariate traits) [BP-GLUC]"
"872","GCST006003","Triglyceride levels"
"873","GCST006613","Triglycerides"
"874","GCST008077_4","LDL cholesterol levels [EA]"
"875","GCST008373","Glaucoma"
"876","GCST008922_5","Triacylglyceride levels [TAG(52:3;0]"
"877","GCST000428","Adiposity [WC]"
"878","GCST004339","Palmitoleic acid (16:1n-7) levels"
"879","GCST008930_3","Phosphatidylethanolamine-ether levels [PEO(18:1;0-18:2;0]"
"880","GCST008933_4","Sphingomyelin levels [SM(36:2;2]"
"881","FINNGEN_R5_E4_DM2NOCOMP","Type 2 diabetes without complications"
"882","GCST000533_20","Lipid metabolism phenotypes [LDL.large, whole]"
"883","GCST002404","Longevity (90 years and older)"
"884","GCST002444","Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)"
"885","GCST008087_4","Triglyceride levels in current drinkers [EA]"
"886","FINNGEN_R5_M13_RHEUMA","Rheumatoid arthritis"
"887","GCST001231_2","Carotid intima media thickness [cIMT]"
"888","GCST002599","Longevity (90 years and older)"
"889","GCST002817","Alzheimer's disease in APOE e4- carriers"
"890","GCST006004","Low density lipoprotein cholesterol levels"
"891","GCST006101_2","Cardiometabolic and hematological traits [HDL]"
"892","GCST007319","Alzheimer's disease (late onset)"
"893","GCST008928_8","Phosphatidylcholine-ether levels [PCO(18:2;0-18:1;0]"
"894","GCST009448","Longevity"
"895","GCST011039","Parkinson's disease progression (composite)"
"896","FINNGEN_R5_G6_AD_WIDE","""AlzheimerÕs disease, wide definition"""
"897","GCST000809","Triglycerides"
"898","GCST005454","Phospholipid levels in large VLDL [conditioned on 885 SNPs]"
"899","GCST005481","Large LDL particle concentration"
"900","GCST007286","Triglycerides x physical activity interaction (2df test)"
"901","GCST008926","Lysophosphatidylethanolamine levels [LPE(16:0;0]"
"902","GCST000493_2","Sphingolipid levels [GluCer]"
