"targetId","targetSymbol","targetName","biotype","maxLiteratureEvidencePhenotype","maxLiteratureEvidenceCount","chronic obstructive pulmonary disease","glaucoma","hypertension","rheumatoid arthritis","obesity","age-related macular degeneration","heart disease","osteoporosis","chronic kidney disease","atherosclerosis","longevity","lipid measurement","lean body mass","grip strength measurement","cognitive decline measurement","delirium","heel bone mineral density","adult onset asthma","chronic pain","alzheimers disease","type 2 diabetes","osteoarthritis","parkinsons disease","metabolic syndrome","adiponectin measurement","gait measurement","healthspan","stroke","idiopathic pulmonary fibrosis","frailty measurement","lewy body dementia","cartilage thickness measurement","neurodegeneration","HGNC","PDB","GenAge.ID","GenAge.URL","CellAge.senescence_effect","n_hallmarks","goHallmarks","goHallmarkTerms","AB","OC","PR","SM","overallMultimorbidityCount"
"ENSG00000257315","ZBED6","zinc finger BED-type containing 6","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33273",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",1
"ENSG00000104313","EYA1","EYA transcriptional coactivator and phosphatase 1","protein coding","heart disease",2,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.78,NA,NA,NA,NA,0.75,NA,NA,NA,0.39,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3519",NA,NA,NA,NA,1,"Epigenetic alteration","histone modification","No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",3
"ENSG00000106638","TBL2","transducin beta like 2","protein coding","heart disease",3,NA,NA,NA,NA,0.01,NA,0.15,NA,NA,0,NA,0.56,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.14,NA,NA,NA,0.15,NA,NA,NA,NA,NA,"11586",NA,NA,NA,NA,1,"Nutrient signalling","response to nutrient levels","No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",5
"ENSG00000118263","KLF7","Kruppel like factor 7","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6350",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",1
"ENSG00000130479","MAP1S","microtubule associated protein 1S","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15715",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",2
"ENSG00000144712","CAND2","cullin associated and neddylation dissociated 2 (putative)","protein coding","heart disease",4,0.4,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30689",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",3
"ENSG00000173175","ADCY5","adenylate cyclase 5","protein coding","type 2 diabetes",33,0.68,NA,NA,NA,0.02,0,0,NA,NA,NA,NA,0.77,0.52,NA,NA,NA,0.54,NA,NA,NA,0.68,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"236",NA,255,"https://genomics.senescence.info/genes/entry.php?hgnc=ADCY5",NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Predicted_Tractable",6
"ENSG00000185002","RFX6","regulatory factor X6","protein coding","type 2 diabetes",6,0.33,0.01,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21478",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","No_Evidence","No_Evidence",2
"ENSG00000033327","GAB2","GRB2 associated binding protein 2","protein coding","alzheimers disease",37,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,0.45,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14458","2VWF, 2W0Z, 5EWZ, 5EXA, 6Y3R, 6Y3S",NA,NA,NA,1,"Immune response","immune response","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",4
"ENSG00000141279","NPEPPS","aminopeptidase puromycin sensitive","protein coding",NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7900",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","Clinical_Precedence",2
"ENSG00000183508","TENT5C","terminal nucleotidyltransferase 5C","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24712","6W36, 6W38, 6W3I, 6W3J",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",2
"ENSG00000125970","RALY","RALY heterogeneous nuclear ribonucleoprotein","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.28,NA,NA,NA,0.07,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15921","1WF1",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000135835","KIAA1614","KIAA1614","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29327",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","No_Evidence","No_Evidence",2
"ENSG00000163072","NOSTRIN","nitric oxide synthase trafficking","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.54,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20203","2YUN",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","No_Evidence","No_Evidence",3
"ENSG00000173517","PEAK1","pseudopodium enriched atypical kinase 1","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,NA,0.48,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29431","6BHC",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","Predicted_Tractable",3
"ENSG00000105851","PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","protein coding","heart disease",34,NA,NA,0.63,NA,NA,NA,0.57,NA,NA,0.57,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8978","1E8Y, 1E8Z, 1HE8, 2A4Z, 2A5U, 2CHW, 2CHX, 2CHZ, 2V4L, 3APC, 3APD, 3APF, 3CSF, 3CST, 3DBS, 3DPD, 3ENE, 3IBE, 3L08, 3L13, 3L16, 3L17, 3L54, 3LJ3, 3MJW, 3ML8, 3ML9, 3NZS, 3NZU, 3OAW, 3P2B, 3PRE, 3PRZ, 3PS6, 3QAQ, 3QAR, 3QJZ, 3QK0, 3R7Q, 3R7R, 3S2A, 3SD5, 3T8M, 3TJP, 3TL5, 3ZVV, 3ZW3, 4ANU, 4ANV, 4ANW, 4ANX, 4AOF, 4DK5, 4EZJ, 4EZK, 4EZL, 4F1S, 4FA6, 4FAD, 4FHJ, 4FHK, 4FJY, 4FJZ, 4FLH, 4FUL, 4G11, 4GB9, 4HLE, 4HVB, 4J6I, 4KZ0, 4KZC, 4PS3, 4PS7, 4PS8, 4URK, 4WWN, 4WWO, 4WWP, 4XX5, 4XZ4, 5EDS, 5G2N, 5G55, 5JHA, 5JHB, 5KAE, 5OQ4, 5T23, 6AUD, 6C1S, 6FH5, 6GQ7, 6T3B, 6T3C, 6XRL, 6XRM, 7JWE, 7JWZ, 7JX0, 7KKE",NA,NA,NA,2,"Inflammation, Immune response","inflammatory response, immune response","Predicted_Tractable_(H)","No_Evidence","Literature_Precedence","Clinical_Precedence",4
"ENSG00000113389","NPR3","natriuretic peptide receptor 3","protein coding","hypertension",34,NA,NA,0.81,NA,NA,NA,0.48,NA,NA,NA,NA,NA,0.83,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7945","1JDN, 1JDP, 1YK0, 1YK1",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","Predicted_Tractable",4
"ENSG00000132386","SERPINF1","serpin family F member 1","protein coding","alzheimers disease",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8824","1IMV",NA,NA,NA,1,"Inflammation","inflammatory response","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",2
"ENSG00000153071","DAB2","DAB adaptor protein 2","protein coding","chronic kidney disease",5,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.43,0.42,0.51,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2662","2LSW, 6O5O, 6OVF",NA,NA,NA,1,"Proteostasis","protein catabolic process, proteasomal degradation","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",5
"ENSG00000162458","FBLIM1","filamin binding LIM protein 1","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24686","2K9U, 2W0P, 4P3W",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","No_Evidence","No_Evidence",1
"ENSG00000196660","SLC30A10","solute carrier family 30 member 10","protein coding","type 2 diabetes",6,0.54,0.06,NA,NA,0.06,NA,NA,NA,NA,NA,NA,0.65,0.13,NA,NA,NA,0.76,NA,NA,NA,0.04,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25355",NA,NA,NA,NA,1,"Cellular senescence","cellular senescence","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",7
"ENSG00000138075","ABCG5","ATP binding cassette subfamily G member 5","protein coding","atherosclerosis",28,NA,NA,0,NA,NA,NA,0.36,NA,0,0.14,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0.14,NA,NA,NA,NA,NA,0.08,NA,NA,NA,"13886","5DO7, 7JR7",NA,NA,NA,1,"Nutrient signalling","response to nutrient levels","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000138380","CARF","calcium responsive transcription factor","protein coding","heart disease",1,NA,NA,0.21,NA,NA,NA,0.62,NA,NA,0.28,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,"14435",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","No_Evidence","No_Evidence",5
"ENSG00000154478","GPR26","G protein-coupled receptor 26","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4481",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","No_Evidence","Predicted_Tractable",2
"ENSG00000185352","HS6ST3","heparan sulfate 6-O-sulfotransferase 3","protein coding","obesity",5,NA,NA,NA,0,0.49,NA,NA,0,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19134",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","No_Evidence","No_Evidence",3
"ENSG00000119522","DENND1A","DENN domain containing 1A","protein coding","type 2 diabetes",2,NA,NA,0,0.21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29324","6EKK",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",3
"ENSG00000149646","CNBD2","cyclic nucleotide binding domain containing 2","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,"16145",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","No_Evidence","No_Evidence",1
"ENSG00000152359","POC5","POC5 centriolar protein","protein coding","obesity",2,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,0.61,0.69,0.03,NA,NA,NA,NA,NA,NA,0.58,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26658",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",5
"ENSG00000152592","DMP1","dentin matrix acidic phosphoprotein 1","protein coding","osteoarthritis",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,0.41,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2932",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","No_Evidence","No_Evidence",3
"ENSG00000197653","DNAH10","dynein axonemal heavy chain 10","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,0.62,0.23,0.11,NA,NA,0.06,NA,NA,NA,0.11,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,"2941",NA,NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",7
"ENSG00000055957","ITIH1","inter-alpha-trypsin inhibitor heavy chain 1","protein coding","heart disease",2,0.01,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.1,0.18,NA,NA,NA,NA,NA,NA,NA,0,0.42,0.05,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,"6166","6FPY, 6FPZ",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","No_Evidence",5
"ENSG00000086205","FOLH1","folate hydrolase 1","protein coding","heart disease",10,NA,NA,0.12,NA,NA,NA,0.35,NA,NA,NA,NA,0.55,NA,NA,NA,NA,0.27,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3788","1Z8L, 2C6C, 2C6G, 2C6P, 2CIJ, 2JBJ, 2JBK, 2OOT, 2OR4, 2PVV, 2PVW, 2XEF, 2XEG, 2XEI, 2XEJ, 3BHX, 3BI0, 3BI1, 3BXM, 3D7D, 3D7F, 3D7G, 3D7H, 3IWW, 3RBU, 3SJE, 3SJF, 3SJG, 3SJX, 4JYW, 4JZ0, 4LQG, 4MCP, 4MCQ, 4MCR, 4MCS, 4NGM, 4NGN, 4NGP, 4NGQ, 4NGR, 4NGS, 4NGT, 4OC0, 4OC1, 4OC2, 4OC3, 4OC4, 4OC5, 4OME, 4P44, 4P45, 4P4B, 4P4D, 4P4E, 4P4F, 4P4I, 4P4J, 4W9Y, 4X3R, 5D29, 5ELY, 5F09, 5O5R, 5O5T, 5O5U, 5OF0, 6ETY, 6EZ9, 6F5L, 6FE5, 6H7Y, 6H7Z, 6HKJ, 6HKZ, 6RBC, 6RTI, 6S1X, 6SGP, 6SKH",NA,NA,NA,NA,NA,NA,"Clinical_Precedence","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",5
"ENSG00000124299","PEPD","peptidase D","protein coding","type 2 diabetes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.63,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,"8840","2IW2, 2OKN, 5M4G, 5M4J, 5M4L, 5M4Q, 5MBY, 5MBZ, 5MC0, 5MC1, 5MC2, 5MC3, 5MC4, 5MC5, 6H2P, 6H2Q, 6QSB, 6QSC, 6SRE, 6SRF, 6SRG",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",4
"ENSG00000124783","SSR1","signal sequence receptor subunit 1","protein coding","type 2 diabetes",2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.22,NA,NA,NA,0.22,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11323",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000138675","FGF5","fibroblast growth factor 5","protein coding","hypertension",13,NA,NA,0.64,NA,NA,NA,0.63,NA,0.4,NA,NA,0.61,0.06,NA,NA,NA,0.03,NA,NA,NA,0.01,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3683",NA,NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","No_Evidence","No_Evidence","No_Evidence",5
"ENSG00000141682","PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1","protein coding","metabolic syndrome",1,NA,NA,0.06,NA,0.43,NA,0.32,NA,NA,NA,NA,0.53,0.34,0.32,NA,NA,0.05,NA,NA,NA,0.45,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9108","3MQP",NA,NA,NA,2,"Proteostasis, Nutrient signalling","protein catabolic process, proteasomal degradation, response to nutrient levels","No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",9
"ENSG00000149177","PTPRJ","protein tyrosine phosphatase receptor type J","protein coding","type 2 diabetes",2,NA,0.12,0.48,NA,NA,NA,0.04,NA,NA,NA,NA,0.08,0.5,NA,NA,NA,0.64,NA,NA,0.13,0.16,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9673","2CFV, 2DLE, 2NZ6",NA,NA,NA,1,"Immune response","immune response","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",8
"ENSG00000163104","SMARCAD1","SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,0.58,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18398","6H3A, 6QU1",NA,NA,NA,1,"Epigenetic alteration","histone modification, chromatin remodeling","No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",3
"ENSG00000178209","PLEC","plectin","protein coding","heart disease",16,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,0.59,0.48,NA,NA,NA,NA,NA,NA,0.3,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9069","1MB8, 2N03, 2ODU, 2ODV, 3F7P, 3PDY, 3PE0, 4GDO, 4Q58, 4Q59, 5J1F, 5J1G, 5J1H, 5J1I",NA,NA,NA,2,"Nutrient signalling, Immune response","response to nutrient levels, immune response","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",5
"ENSG00000205213","LGR4","leucine rich repeat containing G protein-coupled receptor 4","protein coding","obesity",12,NA,NA,NA,NA,0.12,NA,NA,0.72,NA,NA,NA,0.08,0.71,0.06,NA,NA,0.54,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13299","4KT1, 4QXE, 4QXF",NA,NA,NA,1,"Immune response","immune response","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","Predicted_Tractable",6
"ENSG00000008083","JARID2","jumonji and AT-rich interaction domain containing 2","protein coding","heart disease",6,NA,NA,0.27,NA,NA,0,0.01,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6196","5HYN, 5LS6, 5WAI, 6C23, 6C24, 6NQ3, 6WKR, 7KSO",NA,NA,NA,1,"Epigenetic alteration","chromatin remodeling, histone modification","No_Evidence","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",3
"ENSG00000080644","CHRNA3","cholinergic receptor nicotinic alpha 3 subunit","protein coding","chronic obstructive pulmonary disease",55,0.57,NA,NA,NA,0.03,NA,0,NA,NA,0.39,0.5,NA,NA,NA,NA,0,NA,NA,NA,NA,0.02,NA,NA,0,NA,NA,0.07,NA,NA,NA,NA,NA,NA,"1957","4ZK4, 5SYO, 5TVC, 6PV7, 6PV8",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(H)","Clinical_Precedence","Discovery_Opportunity","Clinical_Precedence",4
"ENSG00000102572","STK24","serine/threonine kinase 24","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11403","3A7F, 3A7G, 3A7H, 3A7I, 3A7J, 3CKW, 3CKX, 3ZHP, 4O27, 4QML, 4QMM, 4QMN, 4QMO, 4QMP, 4QMQ, 4QMS, 4QMT, 4QMU, 4QMV, 4QMW, 4QMX, 4QMY, 4QMZ, 4QNA, 4QO9, 4U8Z, 4W8D, 4W8E, 7B30, 7B31, 7B32, 7B33, 7B34, 7B35",NA,NA,NA,1,"Nutrient signalling","response to nutrient levels","No_Evidence","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",2
"ENSG00000130475","FCHO1","FCH and mu domain containing endocytic adaptor 1","protein coding",NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29002",NA,NA,NA,NA,1,"Immune response","immune response","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",2
"ENSG00000138160","KIF11","kinesin family member 11","protein coding","type 2 diabetes",9,0.01,0.01,NA,NA,NA,NA,0,NA,0.01,NA,NA,0.11,NA,NA,NA,NA,NA,0.11,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6388","1II6, 1Q0B, 1X88, 1YRS, 2FKY, 2FL2, 2FL6, 2FME, 2G1Q, 2GM1, 2IEH, 2PG2, 2Q2Y, 2Q2Z, 2UYI, 2UYM, 2WOG, 2X2R, 2X7C, 2X7D, 2X7E, 2XAE, 3CJO, 3HQD, 3K3B, 3K5E, 3KEN, 3L9H, 3WPN, 3ZCW, 4A1Z, 4A28, 4A50, 4A51, 4A5Y, 4AP0, 4AQV, 4AQW, 4AS7, 4B7B, 4BBG, 4BXN, 4CK5, 4CK6, 4CK7, 4ZCA, 4ZHI, 5JV3, 5ZO7, 5ZO8, 5ZO9, 6G6Y, 6G6Z, 6HKX, 6HKY, 6TA3, 6TA4, 6TIW, 6TLE, 6TRL, 6Y1I",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","Clinical_Precedence",3
"ENSG00000162341","TPCN2","two pore segment channel 2","protein coding","heart disease",7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.03,0.05,NA,NA,NA,0.81,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20820","6NQ0, 6NQ1, 6NQ2",NA,NA,NA,NA,NA,NA,"Predicted_Tractable_(M/L)","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",3
"ENSG00000141376","BCAS3","BCAS3 microtubule associated cell migration factor","protein coding","heart disease",3,NA,0.32,0.05,NA,NA,NA,0.57,NA,0.22,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14347",NA,NA,NA,NA,1,"Nutrient signalling","response to nutrient levels","No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",6
"ENSG00000183579","ZNRF3","zinc and ring finger 3","protein coding",NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,0.55,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18126",NA,NA,NA,NA,1,"Proteostasis","protein catabolic process","Predicted_Tractable_(H)","No_Evidence","Discovery_Opportunity","No_Evidence",4
"ENSG00000198373","WWP2","WW domain containing E3 ubiquitin protein ligase 2","protein coding","heart disease",7,NA,NA,NA,NA,NA,NA,0.31,NA,NA,0.23,NA,0.46,0.2,0.56,NA,NA,NA,NA,NA,NA,0.22,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16804","4Y07, 5TJ7, 5TJ8, 5TJQ, 6J1Z, 6RSS",NA,NA,NA,1,"Proteostasis","protein catabolic process, proteasomal degradation","No_Evidence","No_Evidence","Discovery_Opportunity","No_Evidence",7
"ENSG00000112137","PHACTR1","phosphatase and actin regulator 1","protein coding","heart disease",71,0.01,NA,NA,NA,NA,NA,0.7,0.01,0.41,0.57,NA,NA,0.32,0.48,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,"20990","6ZEE, 6ZEF, 6ZEG, 6ZEH, 6ZEI, 6ZEJ",NA,NA,NA,NA,NA,NA,"No_Evidence","No_Evidence","Discovery_Opportunity","Discovery_Opportunity",7
"ENSG00000112715","VEGFA","vascular endothelial growth factor A","protein coding","age-related macular degeneration",3554,NA,NA,0.07,NA,NA,0.57,0.44,NA,0.23,0,NA,0.74,0.11,NA,NA,NA,0.52,NA,NA,NA,0.45,NA,0,0.37,0.37,NA,NA,NA,NA,NA,NA,NA,NA,"12680","1BJ1, 1CZ8, 1FLT, 1KAT, 1KMX, 1MJV, 1MKG, 1MKK, 1QTY, 1TZH, 1TZI, 1VGH, 1VPF, 1VPP, 2FJG, 2FJH, 2QR0, 2VGH, 2VPF, 3BDY, 3P9W, 3QTK, 3S1B, 3S1K, 3V2A, 4DEQ, 4GLN, 4GLS, 4KZN, 4QAF, 4WPB, 4ZFF, 5DN2, 5FV1, 5FV2, 5HHC, 5HHD, 5O4E, 5T89, 6BFT, 6D3O, 6T9D, 6V7K, 6Z13, 6Z3F, 6ZBR, 6ZCD, 6ZFL, 7LL8, 7LL9",77,"https://genomics.senescence.info/genes/entry.php?hgnc=VEGFA","Inhibits",1,"Epigenetic alteration","histone modification","Clinical_Precedence","Clinical_Precedence","Discovery_Opportunity","Discovery_Opportunity",10
